"House","Date","Subject","Policy vote","PolicyLink","Party","Vote","Vote Count","description","policy_type","political_leaning"
"Commons",2002-06-11,"Nationality, Immigration and Asylum Bill — Only allow destitute asylum seekers and those under residence restrictions to live in accommodation centres for a maximum of 10 weeks — rejected","MAJORITY","https://www.publicwhip.org.uk/division.php?date=2002-06-11&house=commons&number=263","Con","FOR",0,"Make seeking asylum more difficult","Home Office","Right"
"Commons",2002-06-11,"Nationality, Immigration and Asylum Bill — Only allow destitute asylum seekers and those under residence restrictions to live in accommodation centres for a maximum of 10 weeks — rejected","MAJORITY","https://www.publicwhip.org.uk/division.php?date=2002-06-11&house=commons&number=263","Con","OTHER",122,"Make seeking asylum more difficult","Home Office","Right"
"Commons",2002-06-11,"Nationality, Immigration and Asylum Bill — Only allow destitute asylum seekers and those under residence restrictions to live in accommodation centres for a maximum of 10 weeks — rejected","MAJORITY","https://www.publicwhip.org.uk/division.php?date=2002-06-11&house=commons&number=263","Con","OTHER",0,"Make seeking asylum more difficult","Home Office","Right"
"Commons",2002-06-11,"Nationality, Immigration and Asylum Bill — Only allow destitute asylum seekers and those under residence restrictions to live in accommodation centres for a maximum of 10 weeks — rejected","MAJORITY","https://www.publicwhip.org.uk/division.php?date=2002-06-11&house=commons&number=263","Con","OTHER",39,"Make seeking asylum more difficult","Home Office","Right"
"Commons",2002-06-11,"Nationality, Immigration and Asylum Bill — Only allow destitute asylum seekers and those under residence restrictions to live in accommodation centres for a maximum of 10 weeks — rejected","MAJORITY","https://www.publicwhip.org.uk/division.php?date=2002-06-11&house=commons&number=263","Lab","FOR",342,"Make seeking asylum more difficult","Home Office","Right"
"Commons",2002-06-11,"Nationality, Immigration and Asylum Bill — Only allow destitute asylum seekers and those under residence restrictions to live in accommodation centres for a maximum of 10 weeks — rejected","MAJORITY","https://www.publicwhip.org.uk/division.php?date=2002-06-11&house=commons&number=263","Lab","OTHER",0,"Make seeking asylum more difficult","Home Office","Right"
"Commons",2002-06-11,"Nationality, Immigration and Asylum Bill — Only allow destitute asylum seekers and those under residence restrictions to live in accommodation centres for a maximum of 10 weeks — rejected","MAJORITY","https://www.publicwhip.org.uk/division.php?date=2002-06-11&house=commons&number=263","Lab","OTHER",0,"Make seeking asylum more difficult","Home Office","Right"
"Commons",2002-06-11,"Nationality, Immigration and Asylum Bill — Only allow destitute asylum seekers and those under residence restrictions to live in accommodation centres for a maximum of 10 weeks — rejected","MAJORITY","https://www.publicwhip.org.uk/division.php?date=2002-06-11&house=commons&number=263","Lab","OTHER",66,"Make seeking asylum more difficult","Home Office","Right"
"Commons",2002-06-11,"Nationality, Immigration and Asylum Bill — Only allow destitute asylum seekers and those under residence restrictions to live in accommodation centres for a maximum of 10 weeks — rejected","MAJORITY","https://www.publicwhip.org.uk/division.php?date=2002-06-11&house=commons&number=263","LDem","FOR",48,"Make seeking asylum more difficult","Home Office","Right"
"Commons",2002-06-11,"Nationality, Immigration and Asylum Bill — Only allow destitute asylum seekers and those under residence restrictions to live in accommodation centres for a maximum of 10 weeks — rejected","MAJORITY","https://www.publicwhip.org.uk/division.php?date=2002-06-11&house=commons&number=263","LDem","OTHER",0,"Make seeking asylum more difficult","Home Office","Right"
"Commons",2002-06-11,"Nationality, Immigration and Asylum Bill — Only allow destitute asylum seekers and those under residence restrictions to live in accommodation centres for a maximum of 10 weeks — rejected","MAJORITY","https://www.publicwhip.org.uk/division.php?date=2002-06-11&house=commons&number=263","LDem","OTHER",0,"Make seeking asylum more difficult","Home Office","Right"
"Commons",2002-06-11,"Nationality, Immigration and Asylum Bill — Only allow destitute asylum seekers and those under residence restrictions to live in accommodation centres for a maximum of 10 weeks — rejected","MAJORITY","https://www.publicwhip.org.uk/division.php?date=2002-06-11&house=commons&number=263","LDem","OTHER",5,"Make seeking asylum more difficult","Home Office","Right"
"Commons",2002-06-11,"Nationality, Immigration and Asylum Bill — Only allow destitute asylum seekers and those under residence restrictions to live in accommodation centres for a maximum of 10 weeks — rejected","MAJORITY","https://www.publicwhip.org.uk/division.php?date=2002-06-11&house=commons&number=263","PC","FOR",4,"Make seeking asylum more difficult","Home Office","Right"
